name,vat,street,street2,city,zip,phone,mobile,email,is_company,customer_rank
AARHAM CHEMICALS,27ABAFA4565D1ZQ,"GALA NO.18 A,BUILDING NO.2,, ARIHANT COMMERCIAL COMPLEX,","NEAR KOPAR BUS STAND,PURNA BHIWANDI,",PURNA,421302,66312061/3535/2370,9870370531 VINDOBHAI,info.aarham@gmail.com,True,1
AARTI DRUGS LIMITED (E9/3-4),27AAACA4410D1ZE,"(RASHESH CHEMICALS DIVISION), PLOT NO.E-9/3-4,","MIDC,TARAPUR,",DIST:THANE,401506,24019025,9821717186-AMRISH,,True,1
AARTI DRUGS LTD (G-60),27AAACA4410D1ZE,"(RUPAL CHEMICALS DIVISION), PLOT NO.G-60,M.I.D.C.TARAPUR",TAL-PALGHAR,DIST ; THANE,401506,2401 9025,,despfct@aartidrugs.com,True,1
AARTI INDUSTRIES LTD (API DIV.UNIT-I),,"(AARTI HEALTHCARE-API DIV.UNIT-I), PLOT NO.D-53,55,57,60 & 56 (PART),","MIDC,PHASE-II,KALYAN SHILL ROAD,","DOMBIVALI (E),DIST.THANE",,2267976693/67976666,,vimal.gogri@aartigroup.com,True,1
AARTIA KEM SCIENCE,27ABHFA9507A1ZP,"101, NEW KUMKUM, ROAD NO.8, DAULAT NAGAR ,",BORIVALI EAST,MUMBAI,400066,,9321119179,alpesh@aartiakem.com,True,1
AARYA METALLURGICALS (INDIA) PRIVATE LTD,22AAKCA6079N1Z8,"CHAKRADHARPUR,HAMIRPUR ROAD,, BANGURSIA ,","RAIGARH,","RAIGARH,",496001,9123057356,9831690889,kanchan.siddhi3@gmail.com,True,1
AARYAN INTERNATIONAL TRADLINKS,27AHWPR7453F1ZL,"5B/402,NEW PANCHDEEP CHS LTD, MANISHA NAGAR",GATE NO 1,THANE,400605,49628525,98190 63609/93243 42281,aaryaninternationaltradlinks@gmail.com,True,1
AASTHAVINAYAK CHEMICALS,27CDPPS6226J1ZV,"319, 3RD FLOOR, GOLDCREST BUSINESS PARK BEHIND KAILASH","ESPLANADE, LBS MARGGHATKOPAR (W),",MUMBAI,400086,022-66313858,8082027354,aasthavinayakchemicals@gmail.com,True,1
AAVIRA INDUSTRIES,27ABJFA9631R1ZN,"2 ND FLOOR, 365,, 1 SAI CHAMBERS NARSHI NATHA STREET","KATHA BAZAR MASJID BUNDER ,",MUMBAI,400009,,,chirag@apraenterprises.in,True,1
AAYAN INDUSTRIES,,"SHOP NO.10,, OM SAI SIDDHI APARTMENT,","SECTOR-23, JUINAGAR",NAVI MUMBAI,,31926800,,info@aayanindustries.com,True,1
ABHILASHA PHARMA PVT.LTD,24AAFCA5539E1ZX,"PLOT NO.1408,1409,, GIDC,",,ANKLESHWAR,393002,2646-220904/645395,,info@abhilashapharma.com,True,1
ABHINANDAN CHEMICALS,27EECPS3924H2Z9,"Flat No-101/A, SaiAmurt Building,, J.S.Road,NearRustamjeeSchool,",Dahisar(West),Mumbai,400068,8433537898PAN,Mobile: 9920868005,info@aprainnovative.in,True,1
ABHINANDAN ENTERPRISE,27AICPD6601Q1Z5,"B-14,TRI GITANJALI C.H.S LTD, BEHIND JAIN MANDIR,SHANTINAGAR,","PANDURANG WADI,DOMBIVALI (E)",DIST; THANE,421201,,9224418007,abhinandan.doshi9@gmail.com,True,1
ABHINANDAN ENTERPRISES,27CSKPS4589L1ZN,"5/408,GURUDARSHAN CHS,, JAGDUSHA NAGAR,","GHATKOPAR WEST,",MUMBAI,400086,,,abhient14@gmail.com,True,1
ABHINANDAN RASAYAN PVT.LTD (UNIT-I),27AAGCA1220K1ZZ,"PLOT NO.J-54,, M.I.D.C.,TALOJA,",DIST:RAIGAD,TALOJA,410208,274401081/32982780,9819399997-ABHISHEK,,True,1
ABHINAV PERFUMERS,24AAGFA5524K1ZK,"G-106 / 107, LODHIKA GIDC,, Kalawad Road,","Metoda, Rajkot",RAJKOT,360021,02827 236 236,9824210838,abhinav126@hotmail.com,True,1
ABR ORGANICS LTD,36AABCA6540M1ZK,"SHED NO.14 & 15,, IDA MALLAPUR,",R.R. DIST ; STATE TELANGANA,HYDERABAD,500076,040-65575981,,info@abrorganics.com,True,1
ABSOLUTE SPECIALITY CHEMICALS,24AAPFA5153P1Z0,"6,DK ESTATE,SURVEY NO.212/P,, AMBAVPURA ROAD,BILESHWARPURA,","CHHATRAL,",DIST.GANDHI NAGAR,382729,,9998929716/6354220198,absolutechem@gmail.com,True,1
ACCORD CHEMICAL CORPORATION,27AAQFA7545N1ZP,"B/705,WESTERN EDGE-II, W.E.HIGHWAY,BEHIND METRO STORE",BORIVALI (EAST),MUMBAI,400060,28701111,,info@accordchemicals.com,True,1
ACCRETE PHARMACEUTICALS (P) LTD.,36AAFCA2804G1Z2,"SY.NO.706AA, 707AA,, TANGADPALLI (V),CHOUTUPPAL(M)","YADADRI BHUVANAGIRI (DIST),",TELANGANA,508252,040-27179878,09246370012/09490233315,accretepharma@gmail.com,True,1
ACE CHEMICALS,27ANCPS0019A1ZL,"148/3,RASIK KUNJ,1 ST FLOOR, SION (W)",,MUMBAI,400022,66312882,9223432110,ace_chemicals@hotmail.com,True,1
ACE RASAYAN,,"18/8,5TH MAIN ROAD,, GANDHINAGAR,",,BANGLORE,560009,22261025/22250078,,Bangalore@acerasayan.com,True,1
ACEBRIGHT (INDIA) PHARMA PVT.LTD,29AAACI8027N1Z4,"77D & NO.116/117,, KIADB INDUSTRIAL AREA,","JIGANI 2ND PHASE,",BANGLORE,562106,91-8110-415545,,dinesha@acebright.in,True,1
ACETO CHEM PVT LTD,,"PLOT NO.90/A,G.I.D.C,, PANDESRA",,SURAT,394221,,9825126143/9825469333,,True,1
ACI Industrial Organic Pvt.Ltd.,24AACCA0189R1ZD,"A1/47/4 & 5,, G.I.D.C. ,",NANDESARI,VADODARA,391340,0265 284117 / 118,,aashish.amin@gmail.com,True,1
ACID INDIA (MUMBAI),27ADJPA4701C1Z8,"D-508,NEELKANTH BUSINESS PARK, NEAR VIDYAVIHAR RAILWAY STATION",VIDYAVIHAR (W),MUMBAI,400086,66252000 (30),,,True,1
ACID INDIA (MUMBAI) 13-14,,"226,SAMUEL STREET,, 1ST FLR,","MASJID BUNDER,",MUMBAI,400003,66252000 (30 LINES),,,True,1
ACORRPHEN COATING PVT.LTD,24AAKCA1272B1Z8,"SURVEY NO.267,269 & 272,, VILLAGE VADU,VADU-BHOJ ROAD,","TALUKA-PADRA,",DIST.VADODARA,391440,0265-6580897,9712993159,info@acorrphen.com,True,1
ACTINACHEM,24ABBFA7618L1ZE,"PLOT NO.C-16, SAI INDUSTRIAL ADDRESS,, MEHSANA BYPASS, NUGAR,","TA: MEHSANAL ,DI: MEHSANA, GUJARAT INDIA",,321205,,+91 9824017639,info.actinachemchem@gmail.com,True,1
ACURA LABS (P) LTD,36AAECA8592N1ZZ,"SY NO.131/E,, PALLEGUDEM (VIII),BIBI NAGAR (MANDAL),",YADARI BHONGIRI,DIST.TELANGANA,508126,,9133332699,purchase@acuralabs.in,True,1
ADAARSH PHARMACON INDUSTRIES PVT LTD,29AATCA5586B1Z8,"PLOT NO.289, KADECHUR INDUSTRIAL AREA, YADGIR DIST",KADECHUR,KADECHUR,585221,8309732755,8309732755,radhakrishna.k@adaarshpharmacon.com,True,1
ADANI PHARMACHEM PVT LTD,24AADCA2201R1ZV,"PLOT NO.2729 TO 2731,ROAD-I, LODHIKA, G.I.D.C.  METODA",DIST : RAJKOT,RAJKOT,,0281-2389068/2387652,,sales@adanipharma.com,True,1
ADARSH CHEMICALS,36AAGPK0164K1ZQ,"4-1-122/2,1""ST FLOOR,, MAHAKALI STREET",,SECUNDERABAD,500003,,,adarshchemical@rediffmail.com,True,1
ADEEP LIFE SCIENCES PRIVATE LIMITED,29AAGCS7108E1ZB,"PLOT NO:131/A-1,130C & D, KOLHAR INDUSTRIAL AREA",,BIDAR,585401,9440814647,9059571663,purchase.hyd@suryakalalabs.com,True,1
ADHITYA INDUSTRIAL MAINTENANCE COATING,33AFJPV8774L1ZI,"4725,TNHB COLONY,, VILLAPURAM,",,MADURAI,12,0452-2671075,09500808993,adithyacoatings@gmail.com,True,1
ADINATH  PETROCHEMS,27AAKPS8187Q1ZE,"JAI JALARAM COMP., GODOWN NO.15,",DAL MILL COMP. PURNA VILLAGE,BHIWANDI,421302,,,,True,1
ADINATH PETROCHEMS,27AAKPS8187Q1ZE,"202,SUSHILA SMRUTI, ASHOK CHAKRAVRTI ROAD",KANDIVALI (E),MUMBAI,400101,2884011,,info.adinathpetrochems@gmail.com,True,1
ADITI INTERNATIONAL,27AAFPS8938Q2ZJ,"EL-134,TTC INDUSRIAL AREA., M.I.D.C. VILLAGE MAHAPE",,NAVI MUMBAI,400710,26823910/26833911,,,True,1
ADITYA CHEMICALS,,"99,MANAV VIHAR SOCIETY,, SECTOR-15,",,ROHNI DELHI,110085,011-23973827/23991288/40512500,9650610594,prachichem@gmail.com,True,1
ADMARK POLYCOATS & RESINS PVT.LTD,24AAVCA2238C1ZV,"PLOT NO.D-3/24/4, GIDC, DAHEJ-3, VILLAGE-SAMANTPOR",TALUKA-VAGRA,DIST-BHARUCH,392130,2662 221587,9714077166,purchase@admarkpolycoats.com,True,1
ADMARK POLYCOATS PVT LTD,24AADCA7427K1ZN,"SURVEY NO.206-207,, VILLAGE;LUNA, TALUKA;PADRA",DISTRICT; VADODARA,GUJARAT,391440,2662221586,,info@admarkpolycoats.com,True,1
ADP FRAGRANCE PRIVATE LIMITED,24AAQCA5195B1ZO,"SURVEY NO 567, NEAR. BIPICO INDUSTRIES,, AT - NANDERKHA,TAL- GANDEVI,",DIST - NAVSARI,GUJARAT,396325,,9925700014,,True,1
ADVANCE CHEMICAL CORPORATION,24AACFA6600N1ZN,"44 HIRABHAI MARKET, D.B. ROAD,KANKARIYA",AHMEDABAD,AHMEDABAD,380022,,7874949400,info@advancechem.in,True,1
ADVANCE CHEMICALS,,"10 MAHESH CHAMBER, 3RD FLOOR, 391 NARSI NATHA STREET",MASJID BUNDER,MUMBAI,400009,"23432455, 66312940",,advancechm@gmail.com,True,1
ADVANCE CHEMICALS SALES CORPORATION,07ADIPG3464H1ZL,"306, TOWER C, NDM - 2,, NETAJI SUBHASH PLACE,","PITAMPURA,",DELHI,110034,011- 48050000,9958589819,accounts@advancechemicals.com,True,1
ADVENT CHEMBIO PVT LTD,27AALCA2122R1ZD,"W-288,MIDC,TTC INDUSTRIAL AREA, THANE BELAPUR ROAD,",RABALE,NAVI MUMBAI,400701,,,purchase1@adventchembio.com,True,1
AETHER INDUSTRIES LIMITED,24AALCA2848Q1Z4,"PLOT NO.8203,ROAD NO.8,, SACHIN GIDC,","SACHIN,",SURAT,394230,91-261-3303000,,purchase@aether.co.in,True,1
AGM ALLIED INDUSTRIES,36AKMPM5829M1ZF,"SY NO.488 r2,, BONTHAPALLY VILLAGE,","GUMMADILLA MANDAL,",SANGAREDDY DISTRICT,,,,agmalliedindustries27@gmail.com,True,1
AGRIM CHEMTECH,27ADRPA2415M1ZG,"GROUND FLOOR, BUILDING A-6,HOUSE NO-339,, GALA-6 PARASNATH COMPLEXOWALI VILLAGE","BHIWANDI, THANE",BHIWANDI,421302,: 91-11-45562639/27512645,9899190456,accounts@rkentp.in,True,1
AGRODYNE (OPC) PVT.LTD,27AAOCA6181B1ZO,"304,SHIV CENTRE,, SECTOR-17,","VASHI,",NAVI MUMBAI,400703,,,operations@satyajit.co,True,1
AHEPRA HEALTHCARE LIMITED,24AAACS5852M1Z3,"PLOT NO.3809,10,11., CRYSTAL CHOWKDI, GIDC ESTATE",ANKLESHWAR,ANKLESHWAR,393002,,9725991000,,True,1
AIM CHEMICALS & INGREDIENTS,27ABKFA2039A1ZX,"D-508, D-WING, 5TH FLOOR,, NEELKANTH BUSINESS PARIK,",NEAR VIDYAVIHAR RAILWAY STATION,VIDYAVIHAR (W ) MUMBAI,400086,,,,True,1
AIMCHEM INGREDIENTS PRIVATE LIMITED,27AAUCA9528L1ZS,"C-503, 5TH FLOOR,, NEELKANTH BUSINESS PARK",VIDHYA VIHAR -WEST,MUMBAI,400086,66252000/66252019/ 66252036,,purchase@aimchemicals.in,True,1
AIRTECH,27AJJPP6347F1ZW,"121,PARAS INDL.ESTATE,, NAVGHAR ROAD,","VASAI (E),",DIST.THANE,401210,0250-2390500/2391354/2391561,,airtechjulie@rediffmail.com,True,1
AKANKSHA ENTERPRISES,27AAAFA2875M1Z8,"214/A,NEW APOLLO EST, MOGRA LANE",ANDHERI(E),MUMBAI,400069,65093289,7208761789,aakanksha.entp777@gmail.com,True,1
AKROSS SYNTHETICS P LTD (UNIT II),09AADCA2030Q1ZM,"PLANT D-35 & 36,, SITE-B,","SURAJPUR INDUSTRIAL AREA,",GREATER NOIDA,,,,aspl@akross-synthetics.com,True,1
AKROSS SYNTHETICS P.LTD,09AADCA2030Q1ZM,"P-4/1, SITE-B,, SURAJPUR INDUSTRIAL AREA,",GREATER NOIDA,,201306,,,akrosyn@vsnl.net,True,1
AKRUR CHEMICAL,27AACFG7264Q1ZR,"W-130m , M.I.D.C.,, PHASE-II",,DOMBIVALI (E),421204,,,,True,1
AKSH CHEMICALS LLP,27ABMFA5987H1ZU,"B WING ,323, BHAVESHWAR ARCADE,, OPP SHREYAS CINEMA, GHATKOPAR WEST,",MUMBAI  SUBURBAN,MUMBAI,400086,,09833053392,,True,1
AKSHAR PLASTCHEM INVESTMENT PVT.LTD,27AACCA3567B1Z0,"201,P.J.MEWAWALA CHAMBERS,, 13,KAZI SAYED STREET,",,MUMBAI,400009,66312075,,aksharplastchem55@gmail.com,True,1
AKSHAT CHEMICAL,27AMQPM4559G1ZI,"GALA NO.547,MAHTRA COMPOUND,, ANJUR PHATA ROAD,","VAL VILLAGE,","BHIWANDI,THANE",421302,022-49730739/99,9223502988,akshatchemicals@gmail.com,True,1
AKSHAT CHEMICALS,27AMQPM4559G1ZI,"2/B,ANANT APT.,, SENAPATI BAPAT MARG.,",,DOMBIVALI (E),421201,0251-2452982,,,True,1
AKSHAY CHEMICALS,27AFSPK4835J1ZV,"D/33, M.I.D.C., PHASE-II,",SAGAON,DOMBIVALI (E),421203,7045357378,9819017802,akshaychem86@gmail.com,True,1
AKTINOS PHARMA PRIVATE LIMITED,37AAGCA6198J3Z3,"UNIT -II, PLOT NO.80D,, ROAD NO.20","JN PHARMA CITY, PARAWADA",VISAKHAPATNAM,531021,,8008559057,satya.g@aktinos.in,True,1
ALASKA PUF INDUSTRIES,24AAPFA5449Q1ZR,"SURVEY NO.676/677/678A,, VILLAGE.CHALODA,SARKHEJ-DHOLKA HIGHWAY,","TAL.DHOLKA,",DIST:AHMEDABAD,382260,079-26467451,9825073692/8141433999,alaska_puf@yahoo.in,True,1
ALEKHYA DRUGS PVT.LTD.,,"PLOT NO.145,IDA,, KONDAPLLY,","IBRAHIMPATNAM,",KRISHNA DIST.,521228,,,,True,1
ALEMBIC PHARMACEUTICALS LIMITED,24AAICA5591M1Z9,"API PLANT-I,PANELAV,, P.O.TAJPURA,","TAL.HALOL,",DIST.PANCHMAHAL,389350,0265-2280550,,,True,1
ALEX INDUSTIRES,24AAKFA3116D1Z3,"PLOT NO.9109/4-5-8,, NEAR KANORIA CHEMICAL  ROAD,","OPP.ION EXCHANGE, G.I.D.C.IND. ESTATE",ANKLESHWAR,393002,+91 81404-05135,,,True,1
ALFA PAINTS & ALLIED PRODUCTS,27AATFA8370J1ZT,"GAT NO.1539, SONAWANE WASTI,, BH. SIDDHIVAINAYAKENGG",CHIKHALI,PUNE,411062,8055889292,,info@alfapaint.com,True,1
ALFA SOLVENTS PVT LTD,27AAGCA5051Q1ZA,"GALANO.B-8, SHRI MOTIRAM KRISHNA PATIL ESTATE","NEAR DEVKRUPA SOCIETY, PURNA VILLAGE",BHIWANDI,421302,"011-43511812, 9891811110.",9891811110.,sales@alfasolvents.com,True,1
ALG CHEMICALS(MAHAD),27ASMPG7310D1ZZ,"PLOT NO. E-13, MIDC MAHAD",DIST RAIGAD,RAIGAD,402301,,9041381613,,True,1
ALKA LABORATORIES PVT LTD,27AACCA7721R1Z7,"117/118,NEHA INDUSTRIAL ESTATE, OFF DATTAPADA ROAD,",BORIVALI (E),MUMBAI,400066,28540011\28543394,Bajaj-09322840088,info@alkalabs.com,True,1
ALKA LABORATORIES PVT.LTD,08AACCA7721R1Z7,"B-1124,RIICO INDUSTRIAL AREA,, PHASE-III,POST BHIWADI,",,DIST:ALWAR,301019,28540011/28702455,,kshah9821@gmail.com,True,1
ALL INDIA DRUG SUPPLY CO (BHIWANDI),27AAEFA6777E1ZC,"C/O. SARA LOGISTICS, GODOWN NO.13,, VANMALA COMP, BEHIND BATRA PETROL PUMP,","REHNAL VILLAGE, BHIWANDI",BHIWANDI,421302,,8237646655,,True,1
ALL INDIA DRUG SUPPLY CO.,27AAEFA6777E1ZC,"2/22,EARTH HOUSE,, 1ST FLOOR,OFF BABU GENU ROAD,","PRINCESS STREET,",MUMBAI,400002,022-22060611/22050264/66379306,,purchase@allindiadrug.com,True,1
ALLCHEM LABORATORIES,,"1088/A-B/P,LAMDAPURA ROAD, VILLAGE; MAJUSAR,",TAL ; SAVLI,DIST; VADODRA,391775,0265-2483348,,allchem2003@gmail.com,True,1
ALLIANCE,27AAAPP6829N1Z4,"102, LABH SARITA ,OPP. MANEK NAGAR,, M.G.ROAD,",KANDIVALI WEST,MUMBAI,400067,022-28659196/28659197,9223433782,alliance.india@mtnl.net.in,True,1
ALLIANT SPECIALITY CHEMICALS PVT LTD,27AAQCA8686F1Z0,"PLOT NO.D-106,, MIDC,","SHENDRA,",AURANGABAD,431210,,,,True,1
Allnex Resins India Pvt. Ltd,,"10th Floor, Jaswanti Landmark,, Mehra Industrial Area,LBS Marg,",Vikhroli (west ),MUMBAI,400079,,Gururaj Manvi-+91-9819028390,,True,1
ALMELO PRIVATE LIMITED,36AABCA7339N1ZB,"A-38 &39. ROAD NO.7,, IDA KUKATPALLY,",BALANAGAR TOWNSHIP,HYDERABAD,500037,,9959892628,,True,1
ALMELO PRIVATE LIMITED UNIT- II,36AABCA7339N1ZB,"SY NO.227, 228 , 137 &  136,, SHABASHPALLY VILLAGE,","SHIVAMPET MANDAL, MEDAK DISTRICT",,502334,,9100991345,,True,1
ALPEX CHEMICALS CO INDIA,,"F-78,PHASE VII,, FOCAL POINT,",,LUDHIANA,,,,,True,1
ALPS VENTURE,27AKCPN8703F1Z7,"1501 SILVER HEIGHT, TAMBE NAGAR, OPP. SHANTI INDUSTRIAL EST",MULUND - WEST,MUMBAI,400080,7506125169,,paras@alpsventure.in,True,1
ALR LABS PVT LTD,,"PLOT NO.10,, SURVEY NO.444 & 445","MEDCHALIE,","HYDERABAD,TELGANA",501401,,,purchase@armedchem.com,True,1
AMAN CHEMICALS,27AACPS4655D1ZO,"REGD.OFFICE : A/8,KRISHNA VRINDAVAN SOC., R.R.T.ROAD ,",MULUND,MUMBAI,400080,,9820972113,,True,1
AMAN ENTERPRISES,07AAAHL0677A2ZN,"305, GDITL TOWER,b-08,, NETAJI SUBHASH PLACE ,","PITAMPURA,",DELHI,110034,"011-27357515,27357516",9811027816,aman@amanenterprises.in,True,1
AMAN SPECIALITY CHEMICALS,,"A/8, KRISHNA VRINDAVAN,, R.R.T. ROAD,",MULUND WEST,MUMBAI,400080,91-22-25610987,,amanchemicals99@gmail.com,True,1
AMAR KIRAN CHEM CORPORATION,36CKFPJ8249H1ZU,"SYNO.170 PLOT NO.124 TO 129, DHOOLAPALLI ROAD,SHIVLOK COMPLEX",NEAR JEEDIMETLA,HYDERABAD,500100,9849445100,9849445100,billing@amarkiranchem.com,True,1
AMAR PAINTS,27AAAFA2936K1ZI,"D-9/10,, DOSHI INDUSTRIAL ESTATE,","NAVGHAR ROAD,BHAYENDER (E),",DIST.THANE,,,,mehul.amarpaints@gmail.com,True,1
AMAR TRADING HOUSE,29AARFA8323K1ZW,"176/9,PETECHENNAPA INDL.ESTATE,, MAGADI ROAD,",,BANGALORE,560079,,9845106791/9448456791,amartradingorder@gmail.com,True,1
AMARDEEP CHEMICALS INDUSTRIES PVT LTD,24AABCA0226G1ZF,"PLOT NO.02/8A, 1ST PHASE, NEAR UPL,",G.I.D.C.,VAPI,396161,,,amardeepvapi@gmail.com,True,1
AMBER CHEMICALS,27AAAFA2373A1Z4,"1104,THE SUMMIT BUSINESS BAY, ANDHERI EAST",MUMBAI,MUMBAI,400093,91-22-40035533 / 40035577 / 40035656,,sales@amberchemicals.com,True,1
AMBUJA PLASTICS PRIVATE LIMITED,06AAACA8221E2Z6,"KHEWAT NO .880,KHANTONI NO.1090, KILLA NO. 136/8/3",DIST -ROHTAK,HASANGARH,124001,011-47092415,,ambujaplastics@yahoo.com,True,1
